,Run,Temperature,Pressure,Feed Rate,Phenol Fraction,Cross Sectional Area,Weigth,Selectivity,Conversion,Yield
581,781.0,923.15,6.75,187.5,0.0325,0.0875,0.1610999999999985,1.333416649852476,0.5129194637417193,8.000214234828068
683,908.0,923.15,9.5,187.5,0.0325,0.1625,0.0401000000000001,1.3333543759647497,0.5129100479000157,8.000054109135675
1069,1408.0,973.15,6.75,187.5,0.0325,0.1625,0.1050000000000019,1.333383745644432,0.5129100080642405,8.000129628856472
1067,1406.0,973.15,6.75,187.5,0.0325,0.0875,0.1054000000000019,1.3333839861375527,0.5128963163347381,8.000130247240541
584,784.0,923.15,6.75,187.5,0.0325,0.2,0.1600999999999987,1.3334160070293306,0.512884994273719,8.000212581971892
99,156.0,873.15,6.75,187.5,0.0325,0.0875,0.2675999999999868,1.3334693155667476,0.5128799723796043,8.000349648223303
202,284.0,873.15,9.5,187.5,0.0325,0.2,0.0662000000000008,1.333367528239222,0.5128784506027578,8.000087928469387
682,907.0,923.15,9.5,187.5,0.0325,0.125,0.0401000000000001,1.3333543762749227,0.5128712496613848,8.000054109933252
580,780.0,923.15,6.75,187.5,0.0325,0.05,0.165999999999998,1.3334198221190254,0.512869308835869,8.000222391491334
1560,2033.0,1023.15,6.75,187.5,0.0325,0.1625,0.073800000000001,1.3333645117005648,0.5128626225133716,8.000080171873039
201,283.0,873.15,9.5,187.5,0.0325,0.1625,0.0662000000000008,1.3333675285496884,0.512855022936443,8.000087929267725
101,158.0,873.15,6.75,187.5,0.0325,0.1625,0.2651999999999871,1.3334678055293234,0.5128391757983656,8.000345765720036
